key,L
33.145801_0.309524_0.571429,1.6169913699
33.646656_0.334783_0.714286,1.6142008555
19.139234_0.373626_0.951613,2.3762136008
26.856020_0.313830_0.982456,2.4687048354
30.454518_0.333333_0.807692,1.6899626824
33.016649_0.283186_0.804348,1.7037432472
32.532883_0.299180_0.651163,1.5801045142
27.068205_0.291339_0.575000,1.5041860931
34.791209_0.377119_0.627451,1.7136310004
30.127138_0.322581_0.590909,1.5932106445
27.218781_0.304000_0.595238,1.4882748114
20.577071_0.264706_0.960000,2.1351767853
19.136184_0.335052_0.929825,2.1604774797
30.503606_0.303030_0.944444,2.3058993204
30.211479_0.171053_0.972973,2.1220389161
34.479782_0.263393_0.844444,1.8583110045
30.045592_0.300971_0.903846,2.1631618882
33.013340_0.327586_0.708333,1.6309271143
30.948031_0.224576_0.820513,1.7422309552
27.634786_0.242857_0.957447,2.1421076888
26.290625_0.224576_0.820513,1.6210223682
22.266403_0.365979_0.898305,2.072109715
